Slice 0:
131.247849 62.246628 0.360290
89.561905 71.542068 0.977912
90.135025 77.604111 0.960283
91.443954 83.799210 0.995475
93.484802 89.595047 0.969746
96.876572 95.272598 0.986887
101.569275 99.972061 0.985536
107.157059 103.527878 1.006625
113.490875 105.464249 0.980688
120.068466 105.543106 1.019268
126.653183 104.015091 0.972414
132.934006 101.544113 0.984421
138.583298 98.365677 0.982762
143.419846 93.920120 0.963289
146.687180 88.244034 0.987521
148.854691 82.280350 0.966481
150.899521 75.652725 0.974730
150.832413 69.915359 0.963688
94.020828 66.094543 0.983048
96.876495 64.459915 0.976150
100.766647 63.908447 0.970241
104.886475 64.030457 0.980665
108.884735 64.574875 0.963979
121.118912 63.820328 0.952479
125.675095 62.866776 0.960678
130.548996 62.508789 0.960351
135.412766 62.950485 0.966388
139.351395 64.406281 0.986032
114.755219 69.919052 0.948734
114.435730 73.792709 0.982898
114.239349 77.226303 0.995319
114.377136 80.810410 0.993386
109.826172 84.869186 0.977758
112.191925 85.406113 1.000215
114.919846 85.585403 0.989325
117.749191 85.184128 0.985540
120.280197 84.551498 0.980866
97.350418 71.469131 0.982612
100.485672 70.426102 0.968017
104.291367 70.141403 0.966706
107.576523 71.115067 0.972855
104.224258 72.350784 0.997382
100.677841 72.582596 0.995975
123.341385 70.188217 0.958747
127.106369 68.871536 0.990009
131.488571 68.933884 0.985892
135.357101 69.776291 0.973828
131.446152 71.048477 0.986447
127.348557 71.083786 0.990923
107.157669 93.338577 0.952328
110.002945 91.719254 0.977315
113.332718 90.800308 0.989649
114.970627 90.808060 0.992236
116.724686 90.670059 0.984533
121.053024 91.363541 0.974785
125.169418 92.637039 0.938772
122.370712 94.154861 0.957320
118.936203 95.278458 0.957524
115.403397 95.800369 0.968560
112.379761 95.655380 0.978118
109.637070 94.777359 0.969322
107.902344 93.360611 0.963770
111.382492 92.697525 0.994556
115.052719 92.366226 0.998300
119.599228 92.416458 0.987864
124.249741 92.731247 0.958736
119.749191 93.513504 0.970438
115.120224 93.838577 0.984264
111.401901 93.872879 0.984395
142.560745 192.567337 0.893190
131.097031 189.280533 0.831613
121.614456 186.885269 0.894994
